retrieval_mode,question_type,question,expected_answer,answer_correct,citation_correct,retrieval_hit,notes
vector,semantic,员工一年能休几天带薪假？,10 天带薪年假,,,,
vector,semantic,如果员工连续休 5 天以上年假，要提前多久申请？,至少提前 10 个工作日,,,,
vector,exact,BX-1024 是否通过审批？,已经通过审批,,,,
vector,exact,BX-1066 为什么被退回？,缺少有效发票,,,,
vector,permission,财务系统临时访问权限最长多久？,7 天,,,,
vector,permission,生产环境临时访问权限最长多久？,7 天,,,,
vector,old_vs_new,2026 年发生的报销事项，提交期限是 30 天还是 45 天？,30 天,,,,
vector,no_answer,公司明年是否计划上市？,资料中没有提供相关信息,,,,
text,semantic,员工一年能休几天带薪假？,10 天带薪年假,,,,
text,semantic,如果员工连续休 5 天以上年假，要提前多久申请？,至少提前 10 个工作日,,,,
text,exact,BX-1024 是否通过审批？,已经通过审批,,,,
text,exact,BX-1066 为什么被退回？,缺少有效发票,,,,
text,permission,财务系统临时访问权限最长多久？,7 天,,,,
text,permission,生产环境临时访问权限最长多久？,7 天,,,,
text,old_vs_new,2026 年发生的报销事项，提交期限是 30 天还是 45 天？,30 天,,,,
text,no_answer,公司明年是否计划上市？,资料中没有提供相关信息,,,,
hybrid,semantic,员工一年能休几天带薪假？,10 天带薪年假,,,,
hybrid,semantic,如果员工连续休 5 天以上年假，要提前多久申请？,至少提前 10 个工作日,,,,
hybrid,exact,BX-1024 是否通过审批？,已经通过审批,,,,
hybrid,exact,BX-1066 为什么被退回？,缺少有效发票,,,,
hybrid,permission,财务系统临时访问权限最长多久？,7 天,,,,
hybrid,permission,生产环境临时访问权限最长多久？,7 天,,,,
hybrid,old_vs_new,2026 年发生的报销事项，提交期限是 30 天还是 45 天？,30 天,,,,
hybrid,no_answer,公司明年是否计划上市？,资料中没有提供相关信息,,,,
